,AUDJPY-7-22,AUDUSD-7-22,CHFJPY-7-22,EURCAD-7-22,EURCHF-7-22,EURGBP-7-22,EURJPY-7-22,EURUSD-7-22,GBPCHF-7-22,GBPJPY-7-22,GBPUSD-7-22,NZDJPY-7-22,NZDUSD-7-22,USDCAD-7-22,USDCHF-7-22,USDJPY-7-22,XAGUSD-7-22,XAUUSD-7-22,WTI Crude Oil,Natural Gas,Heating Oil,Gasoline,Gasoil,Chicago Corn,Chicago Soybeans,Chicago Wheat,Soybean Meal,Soybean Oil,Canada Canola,Sugar No. 11,White Sugar,Coffee C,Cocoa,Cotton,Live Cattle,Lean Hogs,COMEX Gold,COMEX Silver,Platinum,Palladium,Copper CME,E-mini SP 500 Index,E-mini Nasdaq 100 Index,US Dollar Index,Full-size Dow Jones Industrial Average (DJIA),5-year Treasury Note,10-year Treasury Note,30-year Treasury Bond,30-day Fed Funds,3-Month Eurodollar,Short Sterling,3-month Euroyen,DAX,Eurostoxx50,Nikkei 225,S&P 500 INDEX
GBPUSD-7-22,-.2013, .8762,-.5795, .4329, .4976,-.4397, .3405, .864, .8458, .7917, 1, .517, .8263,-.9305,-.9392,-.9435, .9231, .8587, .8852,-.9527, .6348, .5983, .7348, .8502, .7811,-.5246, .9523, .284,-.3391, .7415, 0, .4713, .6168, .7231, .8277, .9594, .8081, .9131, .8207, .7931, .9653, .5797, .2544,-.9135,-.838, .9233, .9257, .917,-.9361, .8309,-.8299,-.0216,-.3418,-.9342,-.7821, .7765
NZDJPY-7-22,-.5873, .3964,-.3342, .7844, .9796, .4428, .9649, .8234, .1433, .0797, .517, 1, .8917,-.6511,-.6673,-.6609, .7816, .8073, .4857,-.4926, .5259, .3364, .3696, .1147, .1625,-.9465, .4649,-.5316,-.8766, .8095, 0,-.1844, .9471, .9202, .8288, .6379, .8041, .7754, .8145, .8357, .4486, .5342,-.269,-.7561,-.619, .7363, .644, .5874,-.4504, .5306,-.6848, .1876, .522,-.4515,-.2924, .6407
NZDUSD-7-22,-.4728, .7277,-.5375, .7556, .8942, .1266, .7975, .9888, .4569, .3737, .8263, .8917, 1,-.9023,-.9284,-.9289, .9702, .9608, .7276,-.7426, .5972, .4457, .5605, .459, .4118,-.8343, .7336,-.2757,-.7909, .8825, 0, .2084, .9335, .9503, .8962, .8486, .941, .9698, .9519, .8741, .7273, .5854,-.1391,-.9702,-.758, .9612, .9163, .8706,-.7019, .8326,-.8199, .1405, .0923,-.7965,-.5518, .7524
USDCAD-7-22, .0944,-.9491, .7879,-.4393,-.6878, .2026,-.4787,-.9192,-.7015,-.583,-.9305,-.6511,-.9023, 1, .93, .9631,-.9176,-.8425,-.9189, .8183,-.7437,-.6608,-.796,-.7416,-.5391, .5463,-.7908,-.039, .5149,-.9038, 0,-.5466,-.8072,-.74,-.7812,-.8789,-.7895,-.9122,-.8079,-.7545,-.8464,-.7293,-.1805, .9591, .6713,-.9399,-.9259,-.8593, .7794,-.8887, .6889, .1807, .2052, .8619, .8264,-.859
USDCHF-7-22, .3968,-.83, .5279,-.6755,-.6753, .1308,-.5583,-.9695,-.6112,-.5434,-.9392,-.6673,-.9284, .93, 1, .9937,-.9783,-.9583,-.7545, .8295,-.4879,-.3873,-.5535,-.6272,-.5594, .6445,-.8497, .0426, .6167,-.7522, 0,-.4392,-.7518,-.8537,-.8231,-.884,-.9372,-.9849,-.9432,-.7774,-.8301,-.4552, .0781, .9851, .7873,-.9948,-.9978,-.9849, .8002,-.9397, .8445,-.1858, .2714, .964, .6038,-.6674
USDJPY-7-22, .3033,-.8828, .6199,-.6141,-.684, .1433,-.5353,-.967,-.632,-.5446,-.9435,-.6609,-.9289, .9631, .9937, 1,-.9679,-.9321,-.8046, .8211,-.5548,-.4571,-.6217,-.6603,-.5395, .6067,-.8294, .032, .6005,-.8002, 0,-.5013,-.7751,-.8222,-.8025,-.8793,-.9027,-.973,-.912,-.7598,-.8322,-.5296, .0199, .9908, .7432,-.9916,-.9933,-.9631, .7876,-.9506, .7941,-.0816, .2762, .9513, .6713,-.7186
XAGUSD-7-22,-.4752, .7665,-.4868, .7206, .763,-.0764, .6691, .9826, .6036, .5468, .9231, .7816, .9702,-.9176,-.9783,-.9679, 1, .9848, .7661,-.8587, .5626, .4472, .5793, .5964, .5869,-.7766, .8657,-.0807,-.6629, .8114, 0, .2694, .8213, .9274, .9188, .9263, .9609, .9981, .9693, .8869, .8443, .5264,-.0547,-.9824,-.8574, .9893, .9643, .9485,-.8298, .8614,-.9024, .1883,-.0809,-.8995,-.5952, .7352
XAUUSD-7-22,-.6138, .6606,-.3534, .8275, .7804, .0364, .7368, .9746, .485, .4473, .8587, .8073, .9608,-.8425,-.9583,-.9321, .9848, 1, .6432,-.7947, .4315, .2979, .4322, .4675, .517,-.8268, .8188,-.1887,-.7369, .7347, 0, .1721, .8072, .9633, .9052, .871, .9942, .9888, .9971, .8693, .7657, .3957,-.2093,-.9547,-.8546, .9701, .9455, .9467,-.7677, .8394,-.9226, .3482,-.0371,-.877,-.4464, .6233
WTI Crude Oil, .1568, .9117,-.8221, .1208, .4938,-.4638, .2489, .7228, .8683, .762, .8852, .4857, .7276,-.9189,-.7545,-.8046, .7661, .6432, 1,-.8548, .9062, .8895, .9635, .8935, .6885,-.3994, .7923, .341,-.1989, .8716, 0, .4964, .6467, .5399, .728, .8728, .5582, .7398, .5853, .7245, .8943, .8777, .5489,-.7911,-.639, .7641, .7361, .6623,-.8283, .6606,-.5798,-.4609,-.1629,-.6965,-.9703, .9541
Natural Gas, .2475,-.7292, .4257,-.3679,-.417, .5404,-.3038,-.756,-.9022,-.8935,-.9527,-.4926,-.7426, .8183, .8295, .8211,-.8587,-.7947,-.8548, 1,-.6625,-.6521,-.7351,-.8651,-.9131, .5717,-.9907,-.4217, .2039,-.6758, 0,-.2432,-.5215,-.6946,-.8802,-.9831,-.7373,-.8341,-.7509,-.8624,-.9939,-.5852,-.3899, .7999, .9261,-.8176,-.7979,-.8114, .9977,-.6309, .8758, .0175, .1994, .8164, .7498,-.7852
Heating Oil, .2621, .7081,-.7965,-.0305, .5256,-.3053, .2927, .534, .7009, .5877, .6348, .5259, .5972,-.7437,-.4879,-.5548, .5626, .4315, .9062,-.6625, 1, .9754, .9617, .712, .5136,-.4065, .5569, .2407,-.1555, .8788, 0, .2418, .6505, .4223, .6424, .7052, .3383, .5226, .3724, .674, .6956, .9931, .6396,-.5823,-.468, .5319, .4578, .3489,-.6325, .3638,-.3792,-.6509, .2001,-.3537,-.9032, .9739
Gasoline, .3995, .675,-.7628,-.2135, .327,-.485, .0839, .3927, .7745, .6773, .5983, .3364, .4457,-.6608,-.3873,-.4571, .4472, .2979, .8895,-.6521, .9754, 1, .9741, .7843, .5846,-.2401, .5452, .4369, .0618, .7624, 0, .2808, .4718, .2593, .5401, .6562, .1952, .4024, .2298, .5734, .6946, .9573, .7911,-.4625,-.4166, .4165, .3562, .2596,-.633, .2624,-.2962,-.7357, .0918,-.2968,-.9271, .9243
Gasoil, .3585, .8234,-.8449,-.1089, .3812,-.5016, .1154, .5346, .8339, .7208, .7348, .3696, .5605,-.796,-.5535,-.6217, .5793, .4322, .9635,-.7351, .9617, .9741, 1, .8618, .6202,-.2591, .6451, .4153,-.0304, .8201, 0, .4495, .5419, .3497, .5918, .743, .3335, .5438, .3658, .6069, .7852, .9429, .7118,-.6123,-.4797, .5712, .5316, .4377,-.7108, .4634,-.3854,-.6673,-.0728,-.4856,-.9851, .9484
Chicago Corn, .2566, .8108,-.6235,-.0976, .0912,-.8017,-.1275, .4946, .9883, .941, .8502, .1147, .459,-.7416,-.6272,-.6603, .5964, .4675, .8935,-.8651, .712, .7843, .8618, 1, .8618,-.1212, .8305, .6986, .1712, .562, 0, .5508, .2646, .2925, .559, .8005, .3815, .5687, .402, .5443, .9096, .6491, .7014,-.5954,-.6201, .5952, .6094, .5924,-.8655, .5257,-.523,-.4126,-.4587,-.6822,-.9102, .7537
Chicago Soybeans,-.1249, .4994,-.1875, .091, .044,-.7807,-.0262, .4311, .9258, .978, .7811, .1625, .4118,-.5391,-.5594,-.5395, .5869, .517, .6885,-.9131, .5136, .5846, .6202, .8618, 1,-.3258, .9097, .7154, .1765, .3686, 0, .124, .148, .4037, .6843, .8284, .4558, .5529, .4663, .6752, .9043, .4116, .5786,-.4924,-.8358, .526, .5202, .575,-.9369, .3256,-.7319,-.0457,-.2727,-.6135,-.6369, .5936
Chicago Wheat, .7624,-.2546, .0865,-.8389,-.867,-.3321,-.927,-.7705,-.1924,-.1936,-.5246,-.9465,-.8343, .5463, .6445, .6067,-.7766,-.8268,-.3994, .5717,-.4065,-.2401,-.2591,-.1212,-.3258, 1,-.5672, .4036, .7842,-.6632, 0, .3641,-.8114,-.9441,-.8897,-.6834,-.8328,-.7659,-.837,-.8948,-.5026,-.3819, .2704, .695, .7689,-.7005,-.6095,-.605, .5483,-.4312, .8191,-.384,-.5177, .4597, .1794,-.5457
Soybean Meal,-.3249, .6987,-.3456, .4289, .386,-.5297, .2985, .7614, .8702, .8763, .9523, .4649, .7336,-.7908,-.8497,-.8294, .8657, .8188, .7923,-.9907, .5569, .5452, .6451, .8305, .9097,-.5672, 1, .4053,-.2207, .6056, 0, .2449, .4803, .7074, .8648, .968, .7726, .847, .7815, .8378, .9791, .4745, .3007,-.801,-.9417, .8289, .8215, .8536,-.9918, .6586,-.9067, .1008,-.2648,-.8578,-.6742, .701
Soybean Oil, .4619, .1969,-.0718,-.595,-.6061,-.9827,-.7037,-.2352, .724, .7835, .284,-.5316,-.2757,-.039, .0426, .032,-.0807,-.1887, .341,-.4217, .2407, .4369, .4153, .6986, .7154, .4036, .4053, 1, .7993,-.1426, 0, .248,-.4763,-.3462,-.0004, .2585,-.2575,-.1144,-.2478, .0027, .4571, .1603, .8296, .1276,-.2181,-.1042,-.0636,-.0124,-.4648,-.1472,-.0591,-.3885,-.4934,-.1196,-.4608, .1874
Canada Canola, .6496,-.299, .2215,-.8883,-.9164,-.6942,-.9396,-.7658, .182, .2566,-.3391,-.8766,-.7909, .5149, .6167, .6005,-.6629,-.7369,-.1989, .2039,-.1555, .0618,-.0304, .1712, .1765, .7842,-.2207, .7993, 1,-.5916, 0, .0484,-.8508,-.8253,-.5628,-.3669,-.7748,-.6863,-.7723,-.5423,-.166,-.1925, .6573, .6827, .3638,-.6704,-.6226,-.5771, .1551,-.6169, .509,-.4171,-.3385, .4453, .0029,-.3002
Sugar No. 11,-.0702, .7954,-.7985, .3981, .8391, .0234, .6422, .8365, .5367, .4026, .7415, .8095, .8825,-.9038,-.7522,-.8002, .8114, .7347, .8716,-.6758, .8788, .7624, .8201, .562, .3686,-.6632, .6056,-.1426,-.5916, 1, 0, .2839, .9251, .7366, .7866, .78, .6757, .7937, .7015, .7933, .6926, .8883, .2105,-.8473,-.5677, .8034, .7356, .6283,-.6277, .6727,-.5698,-.3276, .2029,-.5852,-.7803, .9385
White Sugar, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Coffee C, .5161, .7673,-.7183,-.182,-.0416,-.3763,-.2999, .3098, .4227, .2874, .4713,-.1844, .2084,-.5466,-.4392,-.5013, .2694, .1721, .4964,-.2432, .2418, .2808, .4495, .5508, .124, .3641, .2449, .248, .0484, .2839, 0, 1, .1192,-.0601,-.0663, .2207, .1328, .2901, .1416,-.1171, .3374, .2621, .2068,-.4108, .0695, .3908, .4822, .4221,-.2177, .6576, .0475,-.3882,-.7959,-.5548,-.5832, .2677
Cocoa,-.3555, .6276,-.606, .6691, .9801, .3565, .8693, .8849, .2477, .1284, .6168, .9471, .9335,-.8072,-.7518,-.7751, .8213, .8072, .6467,-.5215, .6505, .4718, .5419, .2646, .148,-.8114, .4803,-.4763,-.8508, .9251, 0, .1192, 1, .862, .7761, .6677, .7864, .8189, .8025, .7748, .5119, .6745,-.1649,-.8495,-.5348, .814, .7415, .6494,-.4679, .6908,-.6007,-.0235, .3363,-.5544,-.4949, .7514
Cotton,-.7146, .4986,-.2527, .8868, .8762, .2227, .8788, .9289, .3306, .3031, .7231, .9202, .9503,-.74,-.8537,-.8222, .9274, .9633, .5399,-.6946, .4223, .2593, .3497, .2925, .4037,-.9441, .7074,-.3462,-.8253, .7366, 0,-.0601, .862, 1, .921, .7984, .966, .9273, .9692, .9015, .6465, .3959,-.2883,-.879,-.8241, .8884, .8326, .8269,-.6654, .6996,-.8958, .389, .2263,-.7159,-.3219, .5992
Live Cattle,-.5394, .5672,-.3255, .6618, .7456,-.1052, .7048, .8616, .6174, .6048, .8277, .8288, .8962,-.7812,-.8231,-.8025, .9188, .9052, .728,-.8802, .6424, .5401, .5918, .559, .6843,-.8897, .8648,-.0004,-.5628, .7866, 0,-.0663, .7761, .921, 1, .9388, .8726, .8973, .8844, .9964, .8403, .5891, .0906,-.8443,-.9405, .8524, .7849, .7807,-.8633, .5921,-.9371, .1601, .2104,-.7006,-.5493, .7816
Lean Hogs,-.3123, .7575,-.4825, .4781, .5761,-.3867, .4604, .8495, .8319, .8024, .9594, .6379, .8486,-.8789,-.884,-.8793, .9263, .871, .8728,-.9831, .7052, .6562, .743, .8005, .8284,-.6834, .968, .2585,-.3669, .78, 0, .2207, .6677, .7984, .9388, 1, .8182, .9046, .8329, .9228, .9734, .6419, .2912,-.8778,-.9298, .887, .8537, .8486,-.9702, .6939,-.9016, 0,-.0939,-.8297,-.7448, .8365
COMEX Gold,-.6805, .5968,-.2774, .8795, .7774, .1077, .7613, .9584, .4012, .3725, .8081, .8041, .941,-.7895,-.9372,-.9027, .9609, .9942, .5582,-.7373, .3383, .1952, .3335, .3815, .4558,-.8328, .7726,-.2575,-.7748, .6757, 0, .1328, .7864, .966, .8726, .8182, 1, .9699, .9993, .8332, .7018, .3048,-.3093,-.9281,-.8288, .9481, .9271, .9373,-.711, .8275,-.9128, .4391,-.0287,-.8585,-.3503, .54
COMEX Silver,-.4896, .7641,-.4781, .7431, .764,-.0469, .6739, .988, .5711, .5125, .9131, .7754, .9698,-.9122,-.9849,-.973, .9981, .9888, .7398,-.8341, .5226, .4024, .5438, .5687, .5529,-.7659, .847,-.1144,-.6863, .7937, 0, .2901, .8189, .9273, .8973, .9046, .9699, 1, .9767, .8615, .8203, .4894,-.1041,-.9859,-.8371, .9939, .9743, .96,-.8041, .8836,-.8925, .2204,-.1062,-.911,-.5664, .7014
Platinum,-.6603, .6166,-.3061, .8668, .7889, .0973, .7635, .9665, .4206, .3873, .8207, .8145, .9519,-.8079,-.9432,-.912, .9693, .9971, .5853,-.7509, .3724, .2298, .3658, .402, .4663,-.837, .7815,-.2478,-.7723, .7015, 0, .1416, .8025, .9692, .8844, .8329, .9993, .9767, 1, .8468, .7173, .3396,-.2822,-.9384,-.8334, .9558, .9323, .9376,-.7235, .8313,-.9133, .4071,-.0199,-.86,-.3802, .5702
Palladium,-.5169, .5348,-.3225, .6268, .7471,-.097, .7072, .8279, .6075, .5955, .7931, .8357, .8741,-.7545,-.7774,-.7598, .8869, .8693, .7245,-.8624, .674, .5734, .6069, .5443, .6752,-.8948, .8378, .0027,-.5423, .7933, 0,-.1171, .7748, .9015, .9964, .9228, .8332, .8615, .8468, 1, .821, .6222, .1289,-.8085,-.9244, .8127, .7357, .7259,-.8458, .5337,-.9111, .117, .2776,-.6415,-.5512, .7989
Copper CME,-.1511, .7878,-.5045, .3012, .3897,-.5813, .2456, .7468, .9323, .9075, .9653, .4486, .7273,-.8464,-.8301,-.8322, .8443, .7657, .8943,-.9939, .6956, .6946, .7852, .9096, .9043,-.5026, .9791, .4571,-.166, .6926, 0, .3374, .5119, .6465, .8403, .9734, .7018, .8203, .7173, .821, 1, .6233, .4405,-.8026,-.8797, .8151, .8026, .8052,-.9893, .657,-.8254,-.1004,-.2618,-.8265,-.8092, .8079
E-mini SP 500 Index, .3008, .7009,-.8334,-.0427, .5531,-.2235, .3109, .5184, .6258, .4959, .5797, .5342, .5854,-.7293,-.4552,-.5296, .5264, .3957, .8777,-.5852, .9931, .9573, .9429, .6491, .4116,-.3819, .4745, .1603,-.1925, .8883, 0, .2621, .6745, .3959, .5891, .6419, .3048, .4894, .3396, .6222, .6233, 1, .5985,-.5632,-.384, .505, .4296, .306,-.5495, .3604,-.3056,-.6865, .23,-.3082,-.882, .9566
E-mini Nasdaq 100 Index, .6641, .3121,-.4114,-.6847,-.3104,-.7999,-.4977,-.1657, .7081, .6887, .2544,-.269,-.1391,-.1805, .0781, .0199,-.0547,-.2093, .5489,-.3899, .6396, .7911, .7118, .7014, .5786, .2704, .3007, .8296, .6573, .2105, 0, .2068,-.1649,-.2883, .0906, .2912,-.3093,-.1041,-.2822, .1289, .4405, .5985, 1, .0647,-.127,-.0889,-.1078,-.1469,-.4073,-.1885, .0552,-.7833,-.1216, .0426,-.6899, .5169
US Dollar Index, .3614,-.8452, .6097,-.6721,-.7749, .0416,-.6397,-.9909,-.5742,-.4841,-.9135,-.7561,-.9702, .9591, .9851, .9908,-.9824,-.9547,-.7911, .7999,-.5823,-.4625,-.6123,-.5954,-.4924, .695,-.801, .1276, .6827,-.8473, 0,-.4108,-.8495,-.879,-.8443,-.8778,-.9281,-.9859,-.9384,-.8085,-.8026,-.5632, .0647, 1, .7515,-.9961,-.9811,-.9425, .7624,-.9261, .8082,-.096, .1469, .9084, .6417,-.7443
Full-size Dow Jones Industrial Average (DJIA), .5803,-.4849, .1291,-.6071,-.5019, .3165,-.504,-.755,-.6977,-.7392,-.838,-.619,-.758, .6713, .7873, .7432,-.8574,-.8546,-.639, .9261,-.468,-.4166,-.4797,-.6201,-.8358, .7689,-.9417,-.2181, .3638,-.5677, 0, .0695,-.5348,-.8241,-.9405,-.9298,-.8288,-.8371,-.8334,-.9244,-.8797,-.384,-.127, .7515, 1,-.7861,-.7481,-.797, .9296,-.5342, .9812,-.3012,-.0081, .7437, .4678,-.626
5-year Treasury Note,-.4124, .8207,-.5485, .6998, .7446,-.0655, .6278, .9885, .5814, .5063, .9233, .7363, .9612,-.9399,-.9948,-.9916, .9893, .9701, .7641,-.8176, .5319, .4165, .5712, .5952, .526,-.7005, .8289,-.1042,-.6704, .8034, 0, .3908, .814, .8884, .8524, .887, .9481, .9939, .9558, .8127, .8151, .505,-.0889,-.9961,-.7861, 1, .9901, .9663,-.7844, .926,-.8447, .1647,-.1787,-.9319,-.6064, .7057
10-year Treasury Note,-.378, .8384,-.5396, .6708, .6635,-.1138, .5417, .9639, .5848, .5109, .9257, .644, .9163,-.9259,-.9978,-.9933, .9643, .9455, .7361,-.7979, .4578, .3562, .5316, .6094, .5202,-.6095, .8215,-.0636,-.6226, .7356, 0, .4822, .7415, .8326, .7849, .8537, .9271, .9743, .9323, .7357, .8026, .4296,-.1078,-.9811,-.7481, .9901, 1, .9851,-.7671, .9599,-.8132, .1885,-.3096,-.969,-.5902, .6382
30-year Treasury Bond,-.4675, .7627,-.4013, .7036, .5842,-.1596, .5028, .9288, .584, .5426, .917, .5874, .8706,-.8593,-.9849,-.9631, .9485, .9467, .6623,-.8114, .3489, .2596, .4377, .5924, .575,-.605, .8536,-.0124,-.5771, .6283, 0, .4221, .6494, .8269, .7807, .8486, .9373, .96, .9376, .7259, .8052, .306,-.1469,-.9425,-.797, .9663, .9851, 1,-.7901, .9259,-.8626, .3157,-.3568,-.9833,-.5045, .5466
30-day Fed Funds, .2509,-.693, .3773,-.3444,-.3653, .5768,-.2635,-.7172,-.909,-.9127,-.9361,-.4504,-.7019, .7794, .8002, .7876,-.8298,-.7677,-.8283, .9977,-.6325,-.633,-.7108,-.8655,-.9369, .5483,-.9918,-.4648, .1551,-.6277, 0,-.2177,-.4679,-.6654,-.8633,-.9702,-.711,-.8041,-.7235,-.8458,-.9893,-.5495,-.4073, .7624, .9296,-.7844,-.7671,-.7901, 1,-.5922, .8729, 0, .2127, .7983, .7265,-.7536
3-Month Eurodollar,-.2356, .8624,-.6176, .5908, .6034,-.0383, .4495, .9, .4617, .3546, .8309, .5306, .8326,-.8887,-.9397,-.9506, .8614, .8394, .6606,-.6309, .3638, .2624, .4634, .5257, .3256,-.4312, .6586,-.1472,-.6169, .6727, 0, .6576, .6908, .6996, .5921, .6939, .8275, .8836, .8313, .5337, .657, .3604,-.1885,-.9261,-.5342, .926, .9599, .9259,-.5922, 1,-.6246, .1274,-.4341,-.9329,-.5489, .53
Short Sterling, .6823,-.486, .1114,-.7418,-.5856, .1733,-.6046,-.8259,-.5909,-.6241,-.8299,-.6848,-.8199, .6889, .8445, .7941,-.9024,-.9226,-.5798, .8758,-.3792,-.2962,-.3854,-.523,-.7319, .8191,-.9067,-.0591, .509,-.5698, 0, .0475,-.6007,-.8958,-.9371,-.9016,-.9128,-.8925,-.9133,-.9111,-.8254,-.3056, .0552, .8082, .9812,-.8447,-.8132,-.8626, .8729,-.6246, 1,-.4226, .0028, .7946, .3836,-.5636
3-month Euroyen,-.8863,-.3561, .6876, .7264, .1144, .3662, .3745, .1825,-.3447,-.2206,-.0216, .1876, .1405, .1807,-.1858,-.0816, .1883, .3482,-.4609, .0175,-.6509,-.7357,-.6673,-.4126,-.0457,-.384, .1008,-.3885,-.4171,-.3276, 0,-.3882,-.0235, .389, .1601, 0, .4391, .2204, .4071, .117,-.1004,-.6865,-.7833,-.096,-.3012, .1647, .1885, .3157, 0, .1274,-.4226, 1,-.003,-.221, .6394,-.4799
